576 1575470551 0,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470552 0,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470553 0,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470554 0,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470560 0,400000 -1,000000 -101,000000 0,000000 0,000000
576 1575470561 0,400000 -1,000000 -101,000000 0,000000 0,000000
579 1575470550 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470551 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470552 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470553 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470554 0,600000 -1,000000 -101,000000 0,000000 0,000000
579 1575470560 0,200000 -1,000000 -101,000000 0,000000 0,000000
